key,collections_count,namespaces_count,collections,namespaces
"showLists","1","1","blue.flashes.actor.profile","blue.flashes.actor"
"showMedia","1","1","blue.flashes.actor.profile","blue.flashes.actor"
"sortOrder","2","2","blue.flashes.actor.portfolio;app.linkbio.link","blue.flashes.actor;app.linkbio.link"
"filter","1","1","blue.flashes.actor.mediaFilter","blue.flashes.actor"
"filterType","1","1","blue.flashes.actor.mediaFilter","blue.flashes.actor"
"proof","1","1","blue.badge.collection","blue.badge.collection"
"k","1","1","blue.badge.collection","blue.badge.collection"
"s","1","1","blue.badge.collection","blue.badge.collection"
"favClient","1","1","blue.atplane.favClient","blue.atplane.favClient"
"averageScore","1","1","blue.2048.player.stats","blue.2048.player"
"gamesPlayed","1","1","blue.2048.player.stats","blue.2048.player"
"highestNumberBlock","1","1","blue.2048.player.stats","blue.2048.player"
"highestScore","1","1","blue.2048.player.stats","blue.2048.player"
"leastMovesToFindTwentyFortyEight","1","1","blue.2048.player.stats","blue.2048.player"
"syncStatus","3","2","blue.2048.player.stats;blue.2048.player.profile;blue.2048.game","blue.2048.player;blue.2048.game"
"timesTwentyFortyEightBeenFound","1","1","blue.2048.player.stats","blue.2048.player"
"totalScore","1","1","blue.2048.player.stats","blue.2048.player"
"syncedWithAtRepo","3","2","blue.2048.player.stats;blue.2048.player.profile;blue.2048.game","blue.2048.player;blue.2048.game"
"soloPlay","1","1","blue.2048.player.profile","blue.2048.player"
"completed","1","1","blue.2048.game","blue.2048.game"
"currentScore","1","1","blue.2048.game","blue.2048.game"
"seededRecording","1","1","blue.2048.game","blue.2048.game"
"won","1","1","blue.2048.game","blue.2048.game"
"customThemeData","1","1","blog.vortext.entry","blog.vortext.entry"
"draft","2","2","blog.vortext.entry;app.gridsky.draft","blog.vortext.entry;app.gridsky.draft"
"basePath","1","1","blog.pckt.publication","blog.pckt.publication"
"extensions","1","1","blog.pckt.publication","blog.pckt.publication"
"dark","2","2","blog.pckt.publication;app.gridsky.preferences","blog.pckt.publication;app.gridsky.preferences"
"light","1","1","blog.pckt.publication","blog.pckt.publication"
"surfaceHover","1","1","blog.pckt.publication","blog.pckt.publication"
"blog","1","1","blog.pckt.post","blog.pckt.post"
"bodyPlain","1","1","blog.pckt.post","blog.pckt.post"
"serviceConsumer","1","1","beauty.cybernetic.trustcow.transaction","beauty.cybernetic.trustcow"
"serviceProvider","1","1","beauty.cybernetic.trustcow.transaction","beauty.cybernetic.trustcow"
"transactionId","1","1","beauty.cybernetic.trustcow.transaction","beauty.cybernetic.trustcow"
"badgeType","1","1","at.atproto.supporter.badge","at.atproto.supporter"
"egg","1","1","art.spacebread.easteregg","art.spacebread.easteregg"
"eggid","1","1","art.spacebread.easteregg","art.spacebread.easteregg"
"claimsAuthorship","1","1","ar.cabildoabierto.wiki.topicVersion","ar.cabildoabierto.wiki"
"props","1","1","ar.cabildoabierto.wiki.topicVersion","ar.cabildoabierto.wiki"
"languageCode","1","1","app.yoten.feed.session","app.yoten.feed"
"predefinedActivityName","1","1","app.yoten.feed.session","app.yoten.feed"
"reactionType","1","1","app.yoten.feed.reaction","app.yoten.feed"
"likerDid","2","2","app.yoou.likeReceived;app.skyart.like","app.yoou.likeReceived;app.skyart.like"
"likerHandle","2","2","app.yoou.likeReceived;app.skyart.like","app.yoou.likeReceived;app.skyart.like"
"postUri","4","3","app.yoou.likeReceived;app.yoou.commentReceived;app.bsky.feed.settings;app.bsky.feed.postSettings","app.yoou.likeReceived;app.yoou.commentReceived;app.bsky.feed"
"commentText","1","1","app.yoou.commentReceived","app.yoou.commentReceived"
"commenterDid","1","1","app.yoou.commentReceived","app.yoou.commentReceived"
"commenterHandle","1","1","app.yoou.commentReceived","app.yoou.commentReceived"
"originalScanDate","1","1","app.winesky.wineScan","app.winesky.wineScan"
"achievement","1","1","app.vercel.dekoboko.quest","app.vercel.dekoboko"
"wants_personal","1","1","app.truanon.prefs","app.truanon.prefs"
"wants_private","1","1","app.truanon.prefs","app.truanon.prefs"
"wants_social","1","1","app.truanon.prefs","app.truanon.prefs"
