type,collections_count,namespaces_count,collections,namespaces
"so.sprk.embed.video","2","1","so.sprk.feed.story;so.sprk.feed.post","so.sprk.feed"
"sc.nexus.embed.media","1","1","sc.nexus.feed.post","sc.nexus.feed"
"sc.nexus.embed.media#item","1","1","sc.nexus.feed.post","sc.nexus.feed"
"sc.nexus.embed.image","1","1","sc.nexus.feed.post","sc.nexus.feed"
"sc.nexus.embed.defs#aspectRatio","1","1","sc.nexus.feed.post","sc.nexus.feed"
"sc.nexus.richtext.facet","1","1","sc.nexus.actor.profile","sc.nexus.actor"
"sc.nexus.richtext.facet#link","1","1","sc.nexus.actor.profile","sc.nexus.actor"
"sc.nexus.richtext.facet#byteSlice","1","1","sc.nexus.actor.profile","sc.nexus.actor"
"pub.leaflet.pages.linearDocument","1","1","pub.leaflet.document","pub.leaflet.document"
"pub.leaflet.pages.linearDocument#block","1","1","pub.leaflet.document","pub.leaflet.document"
"pub.leaflet.blocks.image","1","1","pub.leaflet.document","pub.leaflet.document"
"pub.leaflet.blocks.text","1","1","pub.leaflet.document","pub.leaflet.document"
"pub.leaflet.comment#linearDocumentQuote","1","1","pub.leaflet.comment","pub.leaflet.comment"
"network.cosmik.card#urlContent","1","1","network.cosmik.card","network.cosmik.card"
"network.cosmik.card#urlMetadata","1","1","network.cosmik.card","network.cosmik.card"
"net.anisota.game.inventory","1","1","net.anisota.game.inventory","net.anisota.game"
"my.skylights.listItem#builtin","1","1","my.skylights.listItem","my.skylights.listItem"
"sdfdsdfdsfdsf","1","1","moe.herrscher.elysia.nsid","moe.herrscher.elysia"
"blog","1","1","io.whiteside.project","io.whiteside.project"
"app.bsky.embed.pancake","1","1","get.the.fuck.out.of.my.pancake.thread","get.the.fuck"
"com.atproto.label.defs#labels","2","2","ge.shadowcaster.dev2.board.channel;ge.shadowcaster.dev.board.channel","ge.shadowcaster.dev2;ge.shadowcaster.dev"
"fyi.bluelinks.links#link","1","1","fyi.bluelinks.links","fyi.bluelinks.links"
"exchange.recipe.defs#attributionOriginal","1","1","exchange.recipe.recipe","exchange.recipe.recipe"
"exchange.recipe.recipe#imagesEmbed","1","1","exchange.recipe.recipe","exchange.recipe.recipe"
"community.lexicon.calendar.event.local","1","1","community.lexicon.calendar.rsvp.local","community.lexicon.calendar"
"community.lexicon.calendar.event","1","1","community.lexicon.calendar.rsvp","community.lexicon.calendar"
