key,lexicons_count,lexicons
"url","32","a.bookmark.on.my.pds;ai.hypgen.hypothesis;ai.numinex.v2.data.linkRecord;ai.syui.log;app.basker.links;app.hyper-limit.bookmark;app.juttu.blogpost;app.linkbio.link;app.linkbio.links;app.ocho.plugin.manifest;blog.pckt.post;blue.linkat.board;com.inkreaders.article.post;dev.pouch.bookmark;dev.starfall.rss.star;fo.at.links;fyi.bluelinks.links;fyi.unravel.frontpage.post;jp.5leaf.sync.mastodon;me.atpub.identity.service;me.skyspace.aesthetics;network.cosmik.card;org.bluepocket.v1.archive;org.bluepocket.v1.link;org.bluepocket.v1.save;org.scrapboard.listitem;place.stream.livestream;site.freakybob.visited;social.clippr.feed.clip;uk.ewancroft.site.info;us.delicio.bookmark;xyz.statusphere.linkRating"
"createdAt","337","a.status.update;ai.hypgen.hypothesis;ai.numinex.v2.data.linkRecord;ai.numinex.v2.data.post;ai.syui.log;app.atpaste.paste;app.azsky.feed.longpost;app.basker.links;app.basker.notes;app.basker.settings;app.basker.stories;app.basker.widgets;app.bikesky.communityBot.commandPrompt;app.custom.lolol;app.dropanchor.checkin;app.flashes.feed.post;app.gainforest.community;app.gainforest.profile;app.gather.comment;app.gather.event;app.gather.group;app.honks.feed.honk;app.hyper-limit.bookmark.list;app.hyper-limit.bookmark;app.koda.feed.post.reply;app.koda.feed.post;app.koda.feed.blog;app.koda.feed.like;app.koda.feed.repost;app.koda.feed.replyvote;app.koda.graph.follow;app.lele.flight;app.linkbio.link;app.linkbio.links;app.linkbio.notes;app.linkbio.profileCustomization;app.linkbio.profileNote;app.linkbio.settings;app.linkbio.stories;app.myclient.bookmark;app.navyfragen.message;app.ocho.edu.verification;app.ocho.plugin.manifest;app.ocho.plugin.service;app.popfeed.note;app.popsky.comment;app.popsky.like;app.popsky.list;app.popsky.post;app.popsky.profile;app.popsky.review;app.purplespace.feed.post;app.raddle.community;app.rocksky.album;app.rocksky.artist;app.rocksky.like;app.rocksky.scrobble;app.rocksky.shout;app.rocksky.song;app.shadowsky.preferences;app.skyart.comment;app.skyart.follow;app.skyart.like;app.skyart.post;app.skyart.preferences;app.skytube.graph.favorite;app.skytube.video.save;app.sonasky.ref;app.tcg.card;app.yoten.activity.def;app.yoten.actor.profile;app.yoten.feed.resource;app.yoten.feed.reaction;app.yoten.feed.session;app.yoten.feed.comment;app.yoten.graph.follow;ar.cabildoabierto.actor.caProfile;ar.cabildoabierto.data.dataset;ar.cabildoabierto.feed.article;ar.cabildoabierto.wiki.voteAccept;ar.cabildoabierto.wiki.topicVersion;ar.com.cabildoabierto.topic;ar.com.cabildoabierto.profile;at.atproto.supporter.badge;beauty.cybernetic.trustcow.transaction;blog.pckt.publication;blue.2048.game;blue.2048.player.profile;blue.feeds.hashtag.follow;blue.flashes.actor.mediaFilter;blue.flashes.actor.portfolio;blue.flashes.actor.profile;blue.flashes.feed.post;blue.pfp.unmodifiedPfp;blue.protopro.job;blue.q-p.network.members;blue.rito.feed.bookmark;blue.skymap.geo.map;blue.zio.atfile.upload;business.snep.mood;buzz.bookhive.book;buzz.bookhive.buzz;chat.flock.experimental.customview;chat.flock.experimental.message;cloud.soundsky.audio;club.symbio.urls;coffee.outof.beanPost;com.alephcubed.starmark.review;com.atprofile.beta.profile;com.basker.stories;com.bibliome.bookshelf;com.bibliome.comment;com.bsky-art-platform.art;com.cityboundforest.blog;com.crabdance.nandi.post;com.example.atpwg.publicKey;com.example.ft.topic.post;com.example.ft.topic.reaction;com.example.ft.user.profile;com.example.lexicons;com.example.test.esav;com.fujocoded.guestbook.submission;com.gemmy.favorite.token;com.inkreaders.article.post;com.inkreaders.book.post;com.inkreaders.exercise.post;com.lukeacl.development.blobs;com.marketplace.listing;com.protruth.feed.postLink;com.protruth.feed.post;com.retrobrand.photo;com.ruthub.entry;com.shadowsky.column;com.shadowsky.columns;com.shadowsky.draft;com.shadowsky.preferences;com.shinolabs.pinksea.oekaki;com.skybemoreblue.intro.rejection;com.skybemoreblue.intro.request;com.skybemoreblue.intro.introduction;com.skybemoreblue.social.intro.rejection;com.stroam.feed.post;com.thinkhubtest.initiatives.initiative;com.thinkhubtest.initiatives.task;com.thinkhubtest.initiatives.comment;com.thinkhubtest.threads.post;com.welistskyblue.list.comment;com.welistskyblue.list.congrats;com.welistskyblue.list.like;com.welistskyblue.list.item;com.welistskyblue.list.all;com.whitewind.blog.entry;com.whtwnd.blog.entry;community.graph.follow;community.lexicon.atpublish.mdpost;community.lexicon.bookmark;community.lexicon.bookmarks.bookmark;community.lexicon.calendar.rsvp;community.lexicon.calendar.comment;community.lexicon.calendar.event;community.lexicon.interaction.like;dev.aran.test;dev.at-studio.test.xrpc.request;dev.at-studio.test.xrpc.collection;dev.baileytownsend.health.calories;dev.baileytownsend.health.rings;dev.baileytownsend.health.steps;dev.baileytownsend.health.workout;dev.eagraf.note;dev.fudgeu.experimental.atforumv1.feed.post;dev.indexx.echo.threadmute;dev.pouch.bookmark;dev.skywell.file;dev.starfall.rss.star;exchange.recipe.collection;exchange.recipe.profile;exchange.recipe.recipe;fail.tree.identity.claim;fail.tree.team.membership;fail.tree.team.profile;fm.teal.alpha.actor.profileStatus;fo.at.links;fyi.bluelinks.links;fyi.unravel.frontpage.comment;fyi.unravel.frontpage.post;fyi.unravel.frontpage.vote;im.flushing.right.now;inc.toronto.discover.beta.profile;ink.henry.annotate.trail;ink.henry.annotate.mark;io.zzstoatzz.cdn.image;io.zzstoatzz.status.record;is.dame.now;is.dame.s.iphone.okay;is.sherman.dev.article;li.plonk.comment;li.plonk.paste;link.pastesphere.snippet;local.task.heartbeat;me.atpub.identity.claim;me.atpub.identity.service;me.ngerakines.test;me.skyspace.aesthetics;me.skyspace.content;moe.hayden.blogi.actor.profile;moe.karashiiro.kpaste.paste;my.skylights.rel;my.test.blob;net.anisota.beta.game.dailyRewards;net.anisota.beta.game.specimen;net.anisota.beta.game.pack;net.anisota.beta.game.collection;net.anisota.beta.game.session;net.anisota.beta.game.progress;net.anisota.beta.game.log;net.anisota.beta.game.inventory;net.anisota.feed.list;net.anisota.feed.draft;net.anisota.feed.listItem;net.anisota.feed.repost;net.anisota.feed.post;net.anisota.feed.like;net.anisota.game.inventory;net.anisota.graph.list;net.anisota.graph.mute;net.anisota.settings;net.dracoblue.poing;net.hrkn.personas.bookmark;net.mmatt.right.now;net.nornoe.avatarArchive;network.cosmik.card;network.cosmik.collection;network.cosmik.collectionLink;network.doing.activity;network.slices.actor.profile;network.slices.lexicon;network.slices.slice;network.slices.waitlist.invite;network.slices.waitlist.request;org.bluepocket.v1.archive;org.bluepocket.v1.link;org.bluepocket.v1.save;org.impactindexer.status;org.owdproject.application.windows;org.scrapboard.list;org.scrapboard.listitem;org.xcvr.feed.channel;party.whey.ft.topic.post;party.whey.ft.topic.reaction;party.whey.ft.forum.definition;pet.nel.testrecord;place.stream.chat.message;place.stream.default.metadata;place.stream.key;place.stream.livestream;place.stream.metadata.configuration;pub.leaflet.comment;run.val.qbat.game.v1;sc.nexus.feed.post;self.tanglifications.log;sh.tangled.feed.reaction;sh.tangled.feed.star;sh.tangled.graph.follow;sh.tangled.knot.member;sh.tangled.knot;sh.tangled.label.definition;sh.tangled.publicKey;sh.tangled.repo;sh.tangled.repo.artifact;sh.tangled.repo.collaborator;sh.tangled.repo.issue;sh.tangled.repo.pull.comment;sh.tangled.repo.issue.comment;sh.tangled.repo.pull;sh.tangled.spindle;sh.tangled.spindle.member;sh.tangled.string;so.sprk.feed.story;so.sprk.feed.post;so.sprk.feed.audio;so.sprk.feed.like;so.sprk.graph.follow;social.atexplore.verifiers;social.atrena.block;social.bucket.can.mapping;social.clippr.actor.profile;social.clippr.feed.clip;social.clippr.feed.tag;social.grain.comment;social.grain.favorite;social.grain.gallery;social.grain.gallery.item;social.grain.graph.follow;social.grain.photo.exif;social.grain.photo;social.impro.endorsement;social.impro.managedList;social.impro.nodeRegistration;social.pinksky.app.collection;social.pinksky.app.preference;social.pipup.blog.entry;social.popfeed.actor.profile;social.popfeed.feed.list;social.popfeed.feed.review;social.popfeed.feed.post;social.popfeed.feed.note;social.popfeed.feed.like;social.popfeed.feed.comment;social.skyfi.cert.client;social.skyfi.cert.root;social.skyfi.x509;social.slices.actor.profile;social.slices.lexicon;social.slices.slice;space.aoisora.bookmark;space.essem.file.dir;st.snowpo.post;stream.thought.blip;stream.thought.journal.day;stream.thought.journal.month;stream.thought.journal.year;stream.thought.journal;stream.thought.reasoning;stream.thought.tool.call;test.example.counter;tv.rizzler.feed.repost;tv.rizzler.graph.follow;uk.ewancroft.now;uk.ewancroft.snake.score;uk.skyblur.post;us.delicio.bookmark;user.bookmark.feed.public;xyz.flatshcards.stack;xyz.hypersphere.status;xyz.statuscity.status;xyz.statusphere.linkRating;xyz.statusphere.status"
"critique","1","ai.hypgen.hypothesis"
"feasibility","1","ai.hypgen.hypothesis"
"hypothesis","1","ai.hypgen.hypothesis"
"id","37","ai.hypgen.hypothesis;app.basker.stories;app.gainforest.community;app.gridsky.draft;app.linkbio.links;app.linkbio.notes;app.linkbio.profileCustomization;app.linkbio.stories;app.netlify.aniblue.status;app.ocho.plugin.manifest;app.ocho.state.id;app.pst.structures;ar.cabildoabierto.wiki.topicVersion;ar.com.cabildoabierto.topic;blue.zio.atfile.upload;chat.roomy.01JPNX7AA9BSM6TY2GWW1TR5V7.catalog;com.atproto.lexicon.schema;com.basker.stories;com.inkreaders.exercise.post;com.ruthub.entry;com.shadowsky.column;com.shadowsky.columns;com.shadowsky.draft;com.thinkhubtest.initiatives.task;community.lexicon.location.hthree;community.lexicon.location.geo;community.lexicon.location.fsq;fyi.bluelinks.links;jp.5leaf.sync.mastodon;net.anisota.beta.game.specimen;org.owdproject.application.windows;social.pinksky.app.collection;space.roomy.stream.dev;test.example.counter;works.catalog.album;works.catalog.artist;works.catalog.track"
"impact","1","ai.hypgen.hypothesis"
"novelty","1","ai.hypgen.hypothesis"
"subgraphId","1","ai.hypgen.hypothesis"
"summary","3","ai.hypgen.hypothesis;app.hyper-limit.bookmark;com.thinkhubtest.initiatives.initiative"
